country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",28-11-2025 11:00:00,23.041137,72.456691,SO2,2,7,3
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",28-11-2025 11:00:00,23.023389,72.515201,PM2.5,89,192,129
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",28-11-2025 11:00:00,28.623763,77.287209,SO2,7,16,11
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",28-11-2025 11:00:00,28.674045,77.131023,PM10,218,465,380
India,Delhi,Delhi,"Pusa, Delhi - DPCC",28-11-2025 11:00:00,28.639652,77.146275,PM2.5,324,500,384
India,Delhi,Delhi,"Pusa, Delhi - DPCC",28-11-2025 11:00:00,28.639652,77.146275,CO,2,108,97
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",28-11-2025 11:00:00,22.977134,72.553024,PM2.5,19,139,114
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",28-11-2025 11:00:00,23.002657,72.591912,NO2,59,60,60
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",28-11-2025 11:00:00,23.002657,72.591912,SO2,32,48,41
India,Haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB",28-11-2025 11:00:00,27.9002,76.9938,PM2.5,113,276,213
India,Haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB",28-11-2025 11:00:00,27.9002,76.9938,SO2,31,38,34
India,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB",28-11-2025 11:00:00,28.360699,76.93609,PM2.5,175,500,361
India,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB",28-11-2025 11:00:00,28.360699,76.93609,NH3,16,19,17
India,Haryana,Narnaul,"Shastri Nagar, Narnaul - HSPCB",28-11-2025 11:00:00,28.060249,76.113115,PM2.5,4,341,69
India,Haryana,Narnaul,"Shastri Nagar, Narnaul - HSPCB",28-11-2025 11:00:00,28.060249,76.113115,PM10,4,211,48
India,Haryana,Narnaul,"Shastri Nagar, Narnaul - HSPCB",28-11-2025 11:00:00,28.060249,76.113115,CO,34,67,49
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB",28-11-2025 11:00:00,28.4417,77.3217,CO,58,66,61
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB",28-11-2025 11:00:00,29.503664,75.467934,NH3,13,14,14
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB",28-11-2025 11:00:00,29.503664,75.467934,CO,25,34,29
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD",28-11-2025 11:00:00,28.422681,77.148944,CO,25,128,118
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",28-11-2025 11:00:00,28.4227,77.0667,PM2.5,49,500,298
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",28-11-2025 11:00:00,28.4227,77.0667,NO2,2,5,3
India,Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB",28-11-2025 11:00:00,28.1485564,77.3320667,PM2.5,52,98,76
India,Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB",28-11-2025 11:00:00,28.1485564,77.3320667,PM10,62,112,91
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM",28-11-2025 11:00:00,28.3153,76.9143,PM10,69,202,110
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM",28-11-2025 11:00:00,28.3153,76.9143,OZONE,2,96,5
India,Haryana,Panipat,"Sector-18, Panipat - HSPCB",28-11-2025 11:00:00,29.432304,76.972765,NH3,2,3,2
India,Haryana,Panipat,"Sector-18, Panipat - HSPCB",28-11-2025 11:00:00,29.432304,76.972765,SO2,11,15,12
India,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",28-11-2025 11:00:00,12.9352049,77.6814488,PM10,NA,NA,NA
